event_name,genre,location,review,category,sentiment
Armaan Malik Romantic Night,Theatre,Ahmedabad,Disappointed with the organization.,Venue & Facilities,Negative
Lollapalooza India,Theatre,Pune,"Stellar show, exceeded expectations!",Staff & Service,Positive
Armaan Malik Romantic Night,Theatre,Pune,Poor sound quality and bad management.,Staff & Service,Negative
Lollapalooza India,Sports,Chennai,Not worth the money spent.,Staff & Service,Negative
Zakir Khan Bhopal Show,Comedy,Chennai,Disappointed with the organization.,Venue & Facilities,Negative
Pro Kabaddi Final,Music,Kolkata,Fantastic vibe and great organization!,Staff & Service,Positive
Sunburn Goa,Fashion,Goa,Okayish experience overall.,Value for Money,Neutral
Comic Con India,Sports,Kolkata,It was decent but nothing extraordinary.,Venue & Facilities,Neutral
Gully Boy Music Fest,Music,Goa,Had fun but a few things could be improved.,Content Quality,Neutral
Arijit Singh Arena Tour,Comedy,Mumbai,Fantastic vibe and great organization!,Staff & Service,Positive
Gaurav Kapoor Standup,Music,Mumbai,Disappointed with the organization.,Content Quality,Negative
IPL Qualifier CSK vs MI,Music,Hyderabad,"Loved the experience, highly recommended!",Value for Money,Positive
Arijit Singh Arena Tour,Sports,Bangalore,It was decent but nothing extraordinary.,Venue & Facilities,Neutral
Fashion Week Mumbai,Fashion,Pune,Not worth the money spent.,Value for Money,Negative
Gully Boy Music Fest,Comedy,Kolkata,Had fun but a few things could be improved.,Value for Money,Neutral
Rohan Joshi Standup Special,Music,Ahmedabad,Not worth the money spent.,Content Quality,Negative
Coldplay Concert Ahmedabad,Sports,Delhi,Had fun but a few things could be improved.,Value for Money,Neutral
Armaan Malik Romantic Night,Fashion,Pune,Disappointed with the organization.,Staff & Service,Negative
Gully Boy Music Fest,Comedy,Chennai,Not worth the money spent.,Value for Money,Negative
Lollapalooza India,Sports,Mumbai,Amazing performance and great energy!,Value for Money,Positive
Indian Fashion Carnival,Sports,Chennai,Not worth the money spent.,Venue & Facilities,Negative
Classical Night with Pandit Jasraj,Comedy,Goa,Disappointed with the organization.,Content Quality,Negative
Indian Fashion Carnival,Sports,Kolkata,Not worth the money spent.,Content Quality,Negative
Amit Tandon Family Tandoncies,Comedy,Ahmedabad,Absolutely magical experience!,Value for Money,Positive
ISL Opening Ceremony,Fashion,Pune,It was decent but nothing extraordinary.,Staff & Service,Neutral
Sunburn Goa,Sports,Chennai,Had fun but a few things could be improved.,Value for Money,Neutral
Pro Kabaddi Final,Theatre,Jaipur,Poor sound quality and bad management.,Staff & Service,Negative
Rohan Joshi Standup Special,Comedy,Delhi,"Average event, could be better.",Content Quality,Neutral
Rohan Joshi Standup Special,Comedy,Chennai,"Average event, could be better.",Venue & Facilities,Neutral
Royal Enfield Rider Mania,Theatre,Goa,"Mixed feelings, some good moments.",Content Quality,Neutral
Shreya Ghoshal Live Concert,Fashion,Kolkata,"Stellar show, exceeded expectations!",Staff & Service,Positive
Rahul Subramanian Standup,Fashion,Bangalore,Absolutely magical experience!,Value for Money,Positive
Samay Raina Late Night Show,Theatre,Kolkata,"Average event, could be better.",Content Quality,Neutral
Indian Super League Final,Theatre,Chennai,Absolutely magical experience!,Staff & Service,Positive
Standup by Biswa Kalyan Rath,Fashion,Pune,Had fun but a few things could be improved.,Value for Money,Neutral
Trevor Noah India Tour,Comedy,Ahmedabad,Fantastic vibe and great organization!,Value for Money,Positive
Yo Yo Honey Singh Comeback Show,Music,Mumbai,Amazing performance and great energy!,Staff & Service,Positive
Pro Wrestling League,Theatre,Bangalore,Expected better performances.,Staff & Service,Negative
Sunidhi Chauhan Live Chennai,Fashion,Ahmedabad,Expected better performances.,Venue & Facilities,Negative
IPL Qualifier CSK vs MI,Music,Kolkata,Had fun but a few things could be improved.,Value for Money,Neutral
Arijit Singh Arena Tour,Music,Pune,Amazing performance and great energy!,Venue & Facilities,Positive
Pro Wrestling League,Fashion,Goa,Expected better performances.,Value for Money,Negative
ISL Opening Ceremony,Music,Delhi,Expected better performances.,Value for Money,Negative
Pro Kabaddi Final,Sports,Goa,Absolutely magical experience!,Venue & Facilities,Positive
Pro Wrestling League,Sports,Bangalore,It was decent but nothing extraordinary.,Venue & Facilities,Neutral
Fashion Week Mumbai,Theatre,Mumbai,Had fun but a few things could be improved.,Venue & Facilities,Neutral
Comic Con India,Sports,Pune,Not worth the money spent.,Venue & Facilities,Negative
Badshah x Neha Kakkar Concert,Fashion,Ahmedabad,Disappointed with the organization.,Content Quality,Negative
Virat Kohli Charity Match,Comedy,Jaipur,Had fun but a few things could be improved.,Content Quality,Neutral
Samay Raina Late Night Show,Sports,Chennai,"Stellar show, exceeded expectations!",Staff & Service,Positive
Standup by Biswa Kalyan Rath,Sports,Kolkata,Had fun but a few things could be improved.,Value for Money,Neutral
Pro Wrestling League,Theatre,Kolkata,Poor sound quality and bad management.,Value for Money,Negative
NH7 Weekender Pune,Sports,Goa,"Loved the experience, highly recommended!",Value for Money,Positive
Comic Con India,Fashion,Goa,Expected better performances.,Venue & Facilities,Negative
Comic Con India,Theatre,Chennai,Amazing performance and great energy!,Content Quality,Positive
Classical Night with Pandit Jasraj,Theatre,Pune,Amazing performance and great energy!,Venue & Facilities,Positive
Coldplay ft. Arijit Singh Mumbai,Theatre,Kolkata,"Stellar show, exceeded expectations!",Venue & Facilities,Positive
Arijit Singh Arena Tour,Fashion,Bangalore,Crowd management was terrible.,Staff & Service,Negative
Amit Tandon Family Tandoncies,Sports,Bangalore,Absolutely magical experience!,Content Quality,Positive
Pro Wrestling League,Theatre,Kolkata,Okayish experience overall.,Venue & Facilities,Neutral
Vir Das Comedy Show Hyderabad,Theatre,Chennai,Not worth the money spent.,Venue & Facilities,Negative
ISL Opening Ceremony,Sports,Goa,Amazing performance and great energy!,Staff & Service,Positive
Standup by Biswa Kalyan Rath,Comedy,Kolkata,Not worth the money spent.,Value for Money,Negative
Coldplay Concert Ahmedabad,Sports,Kolkata,"Loved the experience, highly recommended!",Value for Money,Positive
Divine x Ritviz Fusion Concert,Comedy,Goa,"Mixed feelings, some good moments.",Value for Money,Neutral
Amit Tandon Family Tandoncies,Sports,Jaipur,Okayish experience overall.,Value for Money,Neutral
Sunburn Goa,Comedy,Ahmedabad,Disappointed with the organization.,Content Quality,Negative
India Design Week,Theatre,Pune,Had fun but a few things could be improved.,Content Quality,Neutral
Sonu Nigam Live Bangalore,Fashion,Jaipur,"Average event, could be better.",Staff & Service,Neutral
Royal Enfield Rider Mania,Comedy,Jaipur,Expected better performances.,Venue & Facilities,Negative
Coldplay Concert Ahmedabad,Fashion,Delhi,"Average event, could be better.",Venue & Facilities,Neutral
Shreya Ghoshal Live Concert,Theatre,Kolkata,"Average event, could be better.",Value for Money,Neutral
Zakir Khan Bhopal Show,Sports,Jaipur,Disappointed with the organization.,Content Quality,Negative
Gaurav Kapoor Standup,Sports,Mumbai,"Loved the experience, highly recommended!",Staff & Service,Positive
India Design Week,Fashion,Jaipur,Not worth the money spent.,Staff & Service,Negative
Royal Enfield Rider Mania,Sports,Hyderabad,Absolutely magical experience!,Venue & Facilities,Positive
Nucleya Bass Rani Tour,Sports,Hyderabad,Not worth the money spent.,Staff & Service,Negative
Gully Boy Music Fest,Comedy,Ahmedabad,It was decent but nothing extraordinary.,Content Quality,Neutral
Indian Super League Final,Music,Jaipur,Fantastic vibe and great organization!,Content Quality,Positive
Zakir Khan Bhopal Show,Sports,Hyderabad,Not worth the money spent.,Content Quality,Negative
Gully Boy Music Fest,Theatre,Jaipur,It was decent but nothing extraordinary.,Value for Money,Neutral
Standup by Biswa Kalyan Rath,Music,Goa,Disappointed with the organization.,Venue & Facilities,Negative
Shreya Ghoshal Live Concert,Music,Delhi,"Mixed feelings, some good moments.",Staff & Service,Neutral
Sunburn Goa,Theatre,Ahmedabad,It was decent but nothing extraordinary.,Value for Money,Neutral
Amit Tandon Family Tandoncies,Fashion,Goa,"Stellar show, exceeded expectations!",Content Quality,Positive
Vir Das Comedy Show Hyderabad,Fashion,Jaipur,"Average event, could be better.",Staff & Service,Neutral
Sonu Nigam Live Bangalore,Sports,Chennai,Amazing performance and great energy!,Staff & Service,Positive
Coldplay Concert Mumbai,Fashion,Mumbai,"Stellar show, exceeded expectations!",Value for Money,Positive
IPL Final MI vs CSK,Fashion,Pune,Had fun but a few things could be improved.,Content Quality,Neutral
Fashion Week Mumbai,Theatre,Jaipur,Okayish experience overall.,Staff & Service,Neutral
Prateek Kuhad Solo Show,Comedy,Bangalore,It was decent but nothing extraordinary.,Content Quality,Neutral
Nucleya Bass Rani Tour,Comedy,Bangalore,It was decent but nothing extraordinary.,Content Quality,Neutral
IPL Final MI vs CSK,Comedy,Jaipur,"Mixed feelings, some good moments.",Staff & Service,Neutral
Zakir Khan Bhopal Show,Theatre,Pune,"Loved the experience, highly recommended!",Content Quality,Positive
Samay Raina Live Ahmedabad,Sports,Mumbai,"Stellar show, exceeded expectations!",Venue & Facilities,Positive
Armaan Malik Romantic Night,Sports,Ahmedabad,"Stellar show, exceeded expectations!",Value for Money,Positive
Samay Raina Late Night Show,Theatre,Goa,Expected better performances.,Value for Money,Negative
Fashion Week Mumbai,Fashion,Hyderabad,Fantastic vibe and great organization!,Content Quality,Positive
Comic Con India,Music,Chennai,"Mixed feelings, some good moments.",Value for Money,Neutral
Rohan Joshi Standup Special,Comedy,Chennai,"Mixed feelings, some good moments.",Staff & Service,Neutral
