event_name,genre,location,review,category,sentiment,year
Coldplay Concert Mumbai,Comedy,Ahmedabad,"Great value for money, would attend again!",Content Quality,Positive,2022
Coldplay Concert Mumbai,Music,Pune,"Decent experience, but not worth the hype.",Content Quality,Neutral,2023
Coldplay Concert Mumbai,Comedy,Kolkata,The staff was rude and unhelpful.,Content Quality,Negative,2022
Coldplay Concert Mumbai,Theatre,Ahmedabad,"Great value for money, would attend again!",Venue & Facilities,Positive,2021
Coldplay Concert Mumbai,Sports,Bangalore,"Mixed feelings, some good moments.",Venue & Facilities,Neutral,2021
Coldplay Concert Mumbai,Comedy,Mumbai,The performances were underwhelming.,Venue & Facilities,Negative,2021
Coldplay Concert Mumbai,Sports,Delhi,"Great value for money, would attend again!",Staff & Service,Positive,2020
Coldplay Concert Mumbai,Music,Bangalore,"Mixed feelings, some good moments.",Staff & Service,Neutral,2023
Coldplay Concert Mumbai,Comedy,Kolkata,Poor sound quality and bad management.,Staff & Service,Negative,2019
Coldplay Concert Mumbai,Sports,Goa,Amazing performance and great energy!,Value for Money,Positive,2021
Coldplay Concert Mumbai,Theatre,Goa,Had fun but a few things could be improved.,Value for Money,Neutral,2021
Coldplay Concert Mumbai,Theatre,Kolkata,The event was a complete letdown.,Value for Money,Negative,2020
Coldplay Concert Delhi,Music,Goa,"Loved the experience, highly recommended!",Content Quality,Positive,2020
Coldplay Concert Delhi,Comedy,Jaipur,Had fun but a few things could be improved.,Content Quality,Neutral,2022
Coldplay Concert Delhi,Music,Kolkata,Poor sound quality and bad management.,Content Quality,Negative,2022
Coldplay Concert Delhi,Comedy,Bangalore,The artists were phenomenal!,Venue & Facilities,Positive,2022
Coldplay Concert Delhi,Fashion,Chennai,"It was okay, but I expected more.",Venue & Facilities,Neutral,2023
Coldplay Concert Delhi,Sports,Pune,The performances were underwhelming.,Venue & Facilities,Negative,2022
Coldplay Concert Delhi,Fashion,Goa,"Great value for money, would attend again!",Staff & Service,Positive,2022
Coldplay Concert Delhi,Music,Ahmedabad,"It was okay, but I expected more.",Staff & Service,Neutral,2023
Coldplay Concert Delhi,Fashion,Pune,Expected better performances.,Staff & Service,Negative,2023
Coldplay Concert Delhi,Fashion,Hyderabad,The artists were phenomenal!,Value for Money,Positive,2023
Coldplay Concert Delhi,Music,Bangalore,Had fun but a few things could be improved.,Value for Money,Neutral,2023
Coldplay Concert Delhi,Comedy,Chennai,The performances were underwhelming.,Value for Money,Negative,2023
Coldplay Concert Bangalore,Music,Kolkata,The venue was perfect and the staff was very helpful.,Content Quality,Positive,2019
Coldplay Concert Bangalore,Sports,Chennai,"The performances were good, but the venue was cramped.",Content Quality,Neutral,2022
Coldplay Concert Bangalore,Theatre,Hyderabad,The staff was rude and unhelpful.,Content Quality,Negative,2023
Coldplay Concert Bangalore,Theatre,Chennai,"Loved the experience, highly recommended!",Venue & Facilities,Positive,2021
Coldplay Concert Bangalore,Sports,Delhi,"Decent experience, but not worth the hype.",Venue & Facilities,Neutral,2023
